State,EmploymentRateCoeff,Intercept
Alabama,-0.70036790492211,0.4100531293444458
Alaska,-0.23942855487206705,0.4757995766256756
Arizona,-0.41440484655087595,0.4579309401710595
Arkansas,-0.5210732126423707,0.3391599915244341
California,-0.8751850876460507,0.4687496940092467
Colorado,-0.8752043837310379,0.1353970008207678
Connecticut,-0.9535331102654404,0.1783931449676581
Delaware,-0.30705908338005183,0.11809091556421523
Florida,-0.519107990605433,0.23013213230530574
Georgia,-0.43354193776316363,0.25547091587579285
Hawaii,-0.983532404563358,0.20853961270955837
Idaho,-0.22407211827040452,0.43149500366077176
Illinois,-0.33404588735966256,0.2427013306774357
Indiana,-0.8301287114573791,0.2123738038749523
Iowa,-0.8545400262343195,0.31707843326329943
Kansas,-0.8532763921172529,0.15636968998990508
Kentucky,-0.7566062056323698,0.42087879230161584
Louisiana,-0.5801948546942097,0.12982025747190834
Maine,-0.6544439850863073,0.4947547746402069
Maryland,-0.7670166878415665,0.40889790771866297
Massachusetts,-0.5105176842220964,0.17948627261366898
Michigan,-0.8884049114783665,0.10220884684944097
Minnesota,-0.7662842811718255,0.42618457138193366
Mississippi,-0.7069105253650466,0.38274293753904687
Missouri,-0.6351440126263712,0.3916028672163949
Montana,-0.37185923088558903,0.4085081386743783
Nebraska,-0.8402609742733123,0.12961786069363615
Nevada,-0.5886124492691107,0.24338629141770907
New Hampshire,-0.526068344910366,0.1463476238100519
New Jersey,-0.9628396698240018,0.4452413703502375
New Mexico,-0.5139641184788493,0.3493192507310232
New York,-0.8635807010501668,0.23235920994105969
North Carolina,-0.9479587256117764,0.12542334011440948
North Dakota,-0.24089157019733332,0.2243929286862649
Ohio,-0.2274943735403525,0.23007332881069884
Oklahoma,-0.353282121506831,0.39184247133522565
Oregon,-0.7563089846613035,0.35502298854208525
Pennsylvania,-0.921862308794893,0.4548850970305306
Rhode Island,-0.4526135787902744,0.28888597006477973
South Carolina,-0.6478780050083189,0.14783769837532068
South Dakota,-0.902369412124177,0.38529791488919807
Tennessee,-0.6038584719109839,0.40431401944675904
Texas,-0.9724891831078253,0.3245108790277985
Utah,-0.27254367833697435,0.40838687198182444
Vermont,-0.7929760147199865,0.2975182385457563
Virginia,-0.4699821725168144,0.3090931317527976
Washington,-0.7506311391284712,0.27101640734341986
West Virginia,-0.5839455830577513,0.11016765069763808
Wisconsin,-0.5626317765253763,0.1431565707973218
Wyoming,-0.8521164355795784,0.11257167427469371
District of Columbia,-0.22433229778835306,0.3545641645055122
